id,text_nps
1,continuous_nps_q3_otevrenka
2,Vždy když něco potřebuji
3,Mám skvělou bankovní poradkyni paní Kyselovou.
4,Jsem spokojen
5,Bez problémů
6,Mohli by dávat více úroků z vkladů. Jinak spokojen. 
7,Jsem spokojený s úrovní služeb
8,Protože jsem to nikdy nerozmýšlel a je to tak 50:50.
9,Jsem naprosto spokojený
10,aby jste nezpychli.
11,Vsetko super!
12,Nikdy nebyl žádný problém
13,"Jsem spokojena se svým bankovním poradcem,využívám kartu Speare,prostě bezproblémové poradenetví a vůbec všechno. Prostě nevidím žádný problém."
14,Myslím
15,KB dokáže vždy rychle vyřešit můj problém.
16,Ještě nemáte všechny služby dokonalé - platební terminály tam vidím mezery.
17,Jsem spokojený s technickým řešením. Applepay
18,Se vším jsem spokojená
19,Stabilní bankovní instituce
20,Příjemné jednání
21,Nemám žádné problemy. Vše je mě vždy vysvětleno a dokonce s úsměvem. Hodně zdraví přeji v novém roce. Marie
22,vše ok
23,Dobrý den. Jsem spokojená již 27 let s Kb. Za tu dobu bych očekávala z vaší strany nějakou výhodu či odměnu. Ale I tak  všem přeji šťastný nový rok a hodně úspěchů. Hana Vítová
24,Zařizování věcí je příliš komplikované. Chápu
25,"1) Poplatky za vedeni uctu. 2) Neustale telefonni nabidky typu: muzeme vam pujcit AZ 50.000,-, predstavte si, co byste si za to mohl koupit (nabidka jak pro blbce) 3) operatorka po me chtela presny cas, kdy bych se mel dostavit na pobocku a aby mi nabidli 'lepsi' sluzby, aniz bych o neco zadal. Ale vytrvale chtela znat datum a cas.  Na zaklade tohoto rozhovoru jsem si zridil ucet u Airbank a KB necham uz jen 'dobehnout'.."
26,S poskytováním služeb jsem spokojený. Internetové bankovnictví je také přehledné i placení mobilem je bez problémů.
27,"Všecko dobrý, jen vaše bankovní produkty, které jsem na doporučení osobní bankéřky na podzim pořídil, zatím nesplnily očekávání. Sama poradkyně je OK! Ivo Doušek"
28,jsem velmi spokojena se všemi službami KB.
29,Serioznost rychlost spolehlivost jistota a plno dalších výhod.
30,KB mi vždy vyšla vstříc v čem koli jsem potřeboval pomoci nebo poradit. 
31,jsem velmi spokojen se službami
32,Ochota
33,vždy je co zlepšovat. 
34,S jednáním v KB jsem byla  vždy spokojena.
35,prozatím jsme měli dobré zkušenosti s Komerční bankou
36,KB je 1.
37,Vždy jsem byl spokojen s přístupem pracovníků KB
38,"+profesionální přístup osobního bankéře +fungující internetové bankovnictví +neobtěžujete tel. vašími produkty  +pobočka v městě, kde pracuji -poplatek za vedení účtu ( možná ho nazýváte jinak, v dnešní době jsou tyto služby většinou zdarma )  "
39,Již asi 30 let využívám vašich služeb a nikdy jsem se nestkala a ničím negativním.
40,Velmi ochotný personál na pobočce. 
41,Jsem proste spokojena .
42,ok
43,sem spokojen se sluzbami KB i s rychlosti vyrizeni jakych koliv transakci.
44,S personalem na 8 s vami jako bankou a pristupem do ni zde be varmsdorfu 0. Ani po vice nez rokem jsem vam psal phledne bezbarieroveho pristupu. Jak pisete postopite to kompetentnim ve vasi firme. Nestalo se nic. Budu nucen to postoupi já.
45,Nemam u Vas zadnou vyhodu oproti jinym bankovnim spolecnostem. Uz bych u vas nebyl
46,Služby jsou velmi dobré vždycky.
47,Nesetkal jsem se s ničím
48,Spolehlivost.
49,Pro drobné nepřesné nedostatky při vyřizování svých záležitostí v poslední době. 
50,I love you
51,Jsem velmi spokojená. Dobré internetové bankovnictví i dobré zkušenosti se zaměstnanci v Jirkově.
52,Jsem letitý zákazník KB
53,Přístup a nabídka. 
54,Velmi příjemné jednání 
55,-
56,Jsem spokojený. 
57,Nemám nic co by mi nefugovalo. :) 
58,Vstřícnost
59,Mám vynikající kontaktní osobu. Vyhovuje mi mobilní bankovnictví. 
60,Jsem velmi konzervativní a KB byla před lety moje první banka.Jsem jí prostě věrná.
61,Fungujete spolehlivě
62,Při příchodu do banky jsem co nejrychleji obsloužena.
63,Nemám výhrad
64,"Dobrý den, nejsem spokojená s bankovnictvím v mobilu, často se mi stává, že se nelze přihlásit přes aplikaci. Jinak se jedná o průměrně kvalitní služby banky. "
65,bez komentáře.
66,Některé banky mají výběr z jiníh bankomatu zadarmo a KB za 39 kč 
67,Vše vyřeší - když je nějaký problém postaví se k tomu čelem a to je to čeho si vážím 
68,Banka
69,Jsem zaměstnanec KB
70,Vždy je co zlepšovat!
71,Dobrý den
72,Pro důchodce bez úspor není nejvhodnější.
73,na 100 procent to není
74,Jiz vice nez pred mesicem mi pracovnik na pobocce pri nefungujicich systemech slibil
