id,text_nps,
1,Chtěl jsem zrušit kreditní kartu,
2,zatím vše co jsem potřeboval u vás vyřídit mi bylo splněno,
3,Mám KB od svých 18 náctin,
4,Skvělá poradkyně,
5,jsem vcelku spokojená,
6,jsme s vámi spokojeni,
7,Mám účet v KB bezmála deset let. Za věrnost mi nabízíte to co ostatní banky. ,
8,nízké resp. záporné zhodnocení investic,
9,Některé služby jsou na úrovni,
10,Ochotní  a milí zaměstnanci,
11,Protože se velmi často stává,
12,Nízké úroky z vkladů.,
13,Příliš mnoho poplatků a nepružnost,
14,Spokojen ,
15,Snížila jsem maximální hodnotu kvůli poplatkům,
16,"Mobilni banka a funkce Produkty a jejich podminky - hyp. Uver, karta, ucet Sluzby a pece na vysoke urovni Celkove opravdu spokojenost",
17,Spokojenost,
18,Jsou vždy ochotni vše vysvětlí ,
19,Your online banking is insane and I can never get reliable access. Too complicated.,
20,Spokojen ,
21,Jsem celkově spokojená.,
22,Spokojenost se sluzbami,
23,Vsechno je jednoduche a hlavne ochota ,
24,Jsem velice nespokojen se svým bankovním poradcem. Se vším se musím nutit a sám získávat informace o možnostech jak své prostředky případně investovat. I z tohoto důvodu jsem přešel se svým hlavním účtem do Erste,
25,Ak vas porovnam napr s unicredit bankou..nemam dovod vas pouzivat nakolko tam dostanem ucet so zlatou kartou zdarma,
26,Spokojenost zatím ,
27,Neposkytujete nic extra dobrého ani špatného. Jsou i lepší volby.,
28,Velice zkostnatela banka,
29,U půjčky vysoké úroky,
30,Jsem naprosto spokojená s nabídkou produktů i s jejich prezentací zaměstnanci banky u pobočky Polička. Počínaje panem ředitelem a obsluhou u přepážky konče. Děkuji a pěkné svátky ,
31,Založil jsem si euro účet a paní na info lince mi sdělila,
32,Stale vedete v nabidce svuj zakladni ucet s urcitymi poplatkami,
33,Drahé služby.,
34,ochota  a dobrá spolupráce pracovníků banky i když se neobjednám předem.,
35,Vždy jste mi pomohly vyřešit finanční problém ,
36,Vzdy jsem spokojená. ,
37,Chybí mi více bankomatů na výběr i menší částky než jen 500 Kč. ,
38,Jsem velmi spokojená ,
39,jsem spokojená,
40,přehlednost v mobilu ,
41,jsem spokojen s aplikací KB na IOS a podporou applepay  méně spokojen jsem s úrokem na půjčce ,
42,Jste silná společnost. Komunikace s osobní bankéřkou je super. Vše klape. Platby chodí včas a rychle,
43,dobré a vstřícné jednání na pobočce.,
44,Spokojen s přístupem a ochotou všech zaměstnanců KB Nádražní. ,
45,Poplatky za vedení účtu,
46,Jsem spokojena s osobním jednáním.,
47,Mizerná flexibilita a nedostatečně individuální přístup.,
48,Mám tuto banku už 25 let a jsem s ní spokojená.,
49,Rychle jednání,
50,Jsem velmi spokojen s profesionálním přístupem a službami.,
51,Vše je špatné: pomalost,
52,Jsem se vším maximálně spokojená ,
53,Velmi spokojen,
54,Jsem spokojená se službami,
55,"velké poplatky ,dělá si co chce ,přehazuje klienta od poradce k poradci a moc se vnucuje :-) ",
56,"Klíčová banka ČR,bankovní poplatky  ",
